Hap Index 	Expression Value 	Expression Level 	Predicted Expression Level 
0 	 5.073558 	 1 	 1 
1 	 5.956289 	 2 	 1 
2 	 5.449614 	 1 	 1 
3 	 7.284878 	 2 	 1 
4 	 5.938349 	 2 	 1 
5 	 2.501184 	 0 	 1 
6 	 4.214264 	 1 	 1 
7 	 4.823738 	 1 	 1 
8 	 4.809682 	 1 	 1 
9 	 5.136827 	 1 	 1 
10 	 5.936279 	 2 	 1 
11 	 4.404344 	 1 	 1 
12 	 5.073507 	 1 	 1 
13 	 4.198399 	 1 	 1 
14 	 6.237085 	 2 	 1 
15 	 5.634231 	 2 	 1 
16 	 6.109793 	 2 	 1 
17 	 6.026924 	 2 	 1 
18 	 3.638924 	 0 	 1 
19 	 4.238506 	 1 	 2 
20 	 4.859823 	 1 	 1 
21 	 5.243381 	 1 	 1 
22 	 6.746779 	 2 	 1 
23 	 5.126205 	 1 	 1 
24 	 5.835865 	 2 	 1 
25 	 4.745000 	 1 	 1 
26 	 6.955150 	 2 	 1 
27 	 5.742822 	 2 	 1 
28 	 5.652525 	 2 	 1 
29 	 5.932707 	 2 	 1 
30 	 6.672952 	 2 	 1 
31 	 5.184078 	 1 	 1 
32 	 6.029286 	 2 	 1 
33 	 4.918547 	 1 	 1 
34 	 5.222381 	 1 	 1 
35 	 4.909112 	 1 	 1 
36 	 4.335502 	 1 	 1 
37 	 4.617043 	 1 	 1 
38 	 2.955967 	 0 	 1 
39 	 4.960319 	 1 	 1 
40 	 5.430269 	 1 	 1 
41 	 4.815385 	 1 	 1 
42 	 4.640731 	 1 	 1 
43 	 5.221336 	 1 	 1 
44 	 5.686816 	 2 	 1 
45 	 4.868820 	 1 	 1 
46 	 5.710326 	 2 	 1 
47 	 3.913176 	 1 	 1 
48 	 4.539041 	 1 	 1 
49 	 5.696976 	 2 	 1 
50 	 5.570355 	 1 	 1 
51 	 3.494136 	 0 	 1 
52 	 2.219372 	 0 	 1 
53 	 4.356392 	 1 	 1 
54 	 4.629173 	 1 	 1 
55 	 4.127142 	 1 	 1 
56 	 5.580390 	 1 	 1 
57 	 6.034108 	 2 	 1 
58 	 5.155889 	 1 	 1 
59 	 4.714487 	 1 	 1 
60 	 5.537648 	 1 	 1 
61 	 5.075797 	 1 	 1 
62 	 5.044048 	 1 	 1 
63 	 4.407342 	 1 	 1 
64 	 4.837673 	 1 	 1 
65 	 5.543057 	 1 	 1 
66 	 2.894467 	 0 	 1 
67 	 4.390063 	 1 	 1 
68 	 5.258584 	 1 	 1 
69 	 3.990648 	 1 	 1 
70 	 6.298985 	 2 	 1 
71 	 4.955648 	 1 	 1 
72 	 4.615917 	 1 	 1 
73 	 6.144786 	 2 	 1 
74 	 4.160531 	 1 	 1 
75 	 4.303686 	 1 	 1 
76 	 4.921862 	 1 	 1 
77 	 5.037726 	 1 	 1 
78 	 5.617507 	 2 	 1 
79 	 5.043887 	 1 	 1 
80 	 5.114289 	 1 	 1 
81 	 6.246714 	 2 	 1 
82 	 4.845243 	 1 	 1 
83 	 3.452217 	 0 	 1 
84 	 5.136993 	 1 	 1 
85 	 6.262543 	 2 	 1 
86 	 6.157701 	 2 	 1 
87 	 4.898836 	 1 	 1 
88 	 3.954744 	 1 	 1 
89 	 4.078204 	 1 	 1 
90 	 6.022144 	 2 	 1 
91 	 5.075776 	 1 	 1 
92 	 4.548007 	 1 	 1 
93 	 4.253805 	 1 	 1 
94 	 5.466862 	 1 	 1 
95 	 5.762494 	 2 	 1 
96 	 2.771225 	 0 	 1 
97 	 5.177079 	 1 	 1 
98 	 5.494499 	 1 	 1 
99 	 6.526250 	 2 	 1 
