Hap Index 	Expression Value 	Expression Level 	Prediction 
0 	 1.927434 	 0 	 Level 0 
1 	 5.131677 	 1 	 Level 0 
2 	 5.567942 	 1 	 Level 0 
3 	 9.272229 	 2 	 Level 1 
4 	 6.728137 	 2 	 Level 0 
5 	 0.733235 	 0 	 Level 1 
6 	 2.589145 	 0 	 Level 2 
7 	 4.570848 	 1 	 Level 1 
8 	 0.000815 	 0 	 Level 0 
9 	 8.382630 	 2 	 Level 1 
10 	 1.181416 	 0 	 Level 0 
11 	 6.545537 	 1 	 Level 2 
12 	 0.820540 	 0 	 Level 1 
13 	 3.060665 	 0 	 Level 2 
14 	 2.670428 	 0 	 Level 0 
15 	 5.471607 	 1 	 Level 0 
16 	 2.077841 	 0 	 Level 1 
17 	 6.553790 	 1 	 Level 2 
18 	 5.043862 	 1 	 Level 2 
19 	 9.099543 	 2 	 Level 1 
20 	 5.867312 	 1 	 Level 2 
21 	 7.275840 	 2 	 Level 2 
22 	 7.423969 	 2 	 Level 0 
23 	 8.037187 	 2 	 Level 0 
24 	 1.310028 	 0 	 Level 1 
25 	 2.006929 	 0 	 Level 0 
26 	 1.049206 	 0 	 Level 1 
27 	 6.904787 	 2 	 Level 2 
28 	 9.639051 	 2 	 Level 1 
29 	 8.138861 	 2 	 Level 0 
30 	 0.870606 	 0 	 Level 1 
31 	 2.997891 	 0 	 Level 0 
32 	 7.812799 	 2 	 Level 1 
33 	 3.474672 	 1 	 Level 0 
34 	 3.586463 	 1 	 Level 0 
35 	 4.852413 	 1 	 Level 2 
36 	 5.027732 	 1 	 Level 1 
37 	 2.900561 	 0 	 Level 0 
38 	 2.395085 	 0 	 Level 2 
39 	 6.693670 	 2 	 Level 1 
40 	 9.747042 	 2 	 Level 0 
41 	 6.095010 	 1 	 Level 1 
42 	 1.128289 	 0 	 Level 1 
43 	 7.693384 	 2 	 Level 2 
44 	 7.619281 	 2 	 Level 1 
45 	 9.133137 	 2 	 Level 0 
46 	 3.995827 	 1 	 Level 2 
47 	 2.836264 	 0 	 Level 1 
48 	 6.449580 	 1 	 Level 2 
49 	 0.557274 	 0 	 Level 1 
50 	 2.571531 	 0 	 Level 0 
51 	 4.983908 	 1 	 Level 1 
52 	 8.038049 	 2 	 Level 1 
53 	 3.997289 	 1 	 Level 1 
54 	 5.923625 	 1 	 Level 0 
55 	 3.046778 	 0 	 Level 1 
56 	 6.030164 	 1 	 Level 1 
57 	 8.819701 	 2 	 Level 1 
58 	 9.533535 	 2 	 Level 1 
59 	 0.551451 	 0 	 Level 2 
60 	 6.321760 	 1 	 Level 0 
61 	 9.628421 	 2 	 Level 1 
62 	 3.886166 	 1 	 Level 1 
63 	 8.723201 	 2 	 Level 1 
64 	 4.995746 	 1 	 Level 0 
65 	 2.154225 	 0 	 Level 0 
66 	 5.681451 	 1 	 Level 1 
67 	 0.516690 	 0 	 Level 0 
68 	 5.841289 	 1 	 Level 0 
69 	 6.826271 	 2 	 Level 0 
70 	 4.736070 	 1 	 Level 1 
71 	 7.288168 	 2 	 Level 0 
72 	 1.639591 	 0 	 Level 1 
73 	 0.462460 	 0 	 Level 1 
74 	 7.491485 	 2 	 Level 0 
75 	 8.214504 	 2 	 Level 2 
76 	 1.361608 	 0 	 Level 2 
77 	 5.830058 	 1 	 Level 2 
78 	 5.022797 	 1 	 Level 0 
79 	 5.354089 	 1 	 Level 0 
80 	 4.939873 	 1 	 Level 0 
81 	 4.815957 	 1 	 Level 0 
82 	 7.789729 	 2 	 Level 1 
83 	 5.322681 	 1 	 Level 0 
84 	 7.706562 	 2 	 Level 0 
85 	 0.717019 	 0 	 Level 0 
86 	 7.107546 	 2 	 Level 1 
87 	 4.109023 	 1 	 Level 0 
88 	 0.734220 	 0 	 Level 1 
89 	 2.237662 	 0 	 Level 0 
90 	 4.723048 	 1 	 Level 1 
91 	 8.643855 	 2 	 Level 0 
92 	 9.979579 	 2 	 Level 0 
93 	 8.365412 	 2 	 Level 0 
94 	 3.254301 	 0 	 Level 1 
95 	 2.779388 	 0 	 Level 1 
96 	 1.118820 	 0 	 Level 0 
97 	 8.054975 	 2 	 Level 0 
98 	 4.610506 	 1 	 Level 0 
99 	 1.309768 	 0 	 Level 1 
