Hap Index 	Expression Value 	Expression Level 	Predicted Expression Level 
0 	 35.291229 	 3 	 3 
1 	 11.854479 	 1 	 1 
2 	 20.340753 	 2 	 2 
3 	 15.213207 	 1 	 1 
4 	 34.679402 	 3 	 0 
5 	 33.482495 	 3 	 3 
6 	 3.086582 	 0 	 0 
7 	 15.984218 	 1 	 1 
8 	 20.027986 	 1 	 2 
9 	 14.152027 	 1 	 0 
10 	 1.422751 	 0 	 0 
11 	 26.036639 	 2 	 2 
12 	 7.757470 	 0 	 0 
13 	 47.993177 	 4 	 4 
14 	 48.880918 	 4 	 4 
15 	 3.043086 	 0 	 0 
16 	 18.214476 	 1 	 1 
17 	 28.824685 	 2 	 2 
18 	 2.026127 	 0 	 1 
19 	 16.295548 	 1 	 1 
20 	 10.137190 	 0 	 1 
21 	 14.303446 	 1 	 1 
22 	 18.329382 	 1 	 1 
23 	 14.787180 	 1 	 1 
24 	 9.822679 	 0 	 0 
25 	 42.930173 	 4 	 4 
26 	 2.805159 	 0 	 0 
27 	 36.063862 	 3 	 3 
28 	 43.118942 	 4 	 4 
29 	 23.189676 	 2 	 2 
30 	 49.848906 	 4 	 2 
31 	 22.810076 	 2 	 2 
32 	 31.309053 	 3 	 3 
33 	 7.240437 	 0 	 0 
34 	 49.696662 	 4 	 4 
35 	 6.012333 	 0 	 4 
36 	 40.799246 	 4 	 4 
37 	 49.656264 	 4 	 4 
38 	 6.360040 	 0 	 0 
39 	 41.406833 	 4 	 1 
40 	 39.041785 	 3 	 1 
41 	 21.731841 	 2 	 2 
42 	 24.465482 	 2 	 2 
43 	 20.596062 	 2 	 2 
44 	 38.126641 	 3 	 3 
45 	 41.997308 	 4 	 4 
46 	 29.375332 	 2 	 2 
47 	 33.074478 	 3 	 3 
48 	 48.740426 	 4 	 3 
49 	 23.813722 	 2 	 2 
50 	 20.168792 	 2 	 2 
51 	 12.534485 	 1 	 0 
52 	 1.194345 	 0 	 0 
53 	 37.509939 	 3 	 3 
54 	 5.833663 	 0 	 1 
55 	 8.268608 	 0 	 0 
56 	 4.348982 	 0 	 0 
57 	 14.323229 	 1 	 4 
58 	 41.703259 	 4 	 4 
59 	 40.471640 	 4 	 4 
60 	 6.058053 	 0 	 2 
61 	 38.625425 	 3 	 3 
62 	 14.069987 	 1 	 1 
63 	 2.793733 	 0 	 4 
64 	 42.282297 	 4 	 4 
65 	 10.424458 	 1 	 1 
66 	 17.116658 	 1 	 1 
67 	 21.086369 	 2 	 2 
68 	 3.873620 	 0 	 0 
69 	 46.048945 	 4 	 0 
70 	 30.399188 	 3 	 3 
71 	 29.099543 	 2 	 3 
72 	 43.914594 	 4 	 0 
73 	 19.925885 	 1 	 1 
74 	 0.277860 	 0 	 0 
75 	 30.411557 	 3 	 3 
76 	 49.636558 	 4 	 4 
77 	 23.865548 	 2 	 2 
78 	 23.669383 	 2 	 2 
79 	 36.352461 	 3 	 2 
80 	 24.075800 	 2 	 2 
81 	 8.286789 	 0 	 0 
82 	 0.708173 	 0 	 0 
83 	 5.528548 	 0 	 0 
84 	 41.187815 	 4 	 4 
85 	 22.684964 	 2 	 2 
86 	 10.118860 	 0 	 1 
87 	 33.326867 	 3 	 3 
88 	 47.672831 	 4 	 2 
89 	 48.604458 	 4 	 4 
90 	 11.425126 	 1 	 0 
91 	 48.754582 	 4 	 4 
92 	 39.329786 	 3 	 3 
93 	 20.802279 	 2 	 2 
94 	 14.596158 	 1 	 1 
95 	 44.949185 	 4 	 4 
96 	 1.612374 	 0 	 0 
97 	 19.621797 	 1 	 1 
98 	 32.670745 	 3 	 3 
99 	 15.743781 	 1 	 1 
100 	 39.799525 	 3 	 0 
101 	 11.528884 	 1 	 1 
102 	 14.356819 	 1 	 1 
103 	 29.739107 	 2 	 2 
104 	 29.264922 	 2 	 4 
105 	 43.446649 	 4 	 4 
106 	 46.841203 	 4 	 4 
107 	 40.587305 	 4 	 4 
108 	 17.318461 	 1 	 1 
109 	 17.282647 	 1 	 1 
110 	 45.583415 	 4 	 4 
111 	 32.177879 	 3 	 3 
112 	 33.595332 	 3 	 3 
113 	 24.364727 	 2 	 2 
114 	 28.460914 	 2 	 2 
115 	 44.166562 	 4 	 2 
116 	 8.328842 	 0 	 0 
117 	 6.783673 	 0 	 0 
118 	 6.489120 	 0 	 0 
119 	 45.506862 	 4 	 4 
120 	 49.279356 	 4 	 4 
121 	 13.053277 	 1 	 1 
122 	 1.964860 	 0 	 0 
123 	 11.232909 	 1 	 1 
124 	 9.238125 	 0 	 0 
125 	 30.172730 	 3 	 3 
126 	 17.348002 	 1 	 1 
127 	 42.176178 	 4 	 4 
128 	 3.958804 	 0 	 0 
129 	 31.955886 	 3 	 3 
130 	 46.575987 	 4 	 4 
131 	 27.073508 	 2 	 2 
132 	 13.628422 	 1 	 1 
133 	 8.556243 	 0 	 0 
134 	 10.340627 	 1 	 1 
135 	 43.598356 	 4 	 4 
136 	 25.486952 	 2 	 2 
137 	 41.098737 	 4 	 4 
138 	 18.447056 	 1 	 1 
139 	 0.660218 	 0 	 0 
140 	 41.820523 	 4 	 4 
141 	 8.002316 	 0 	 0 
142 	 1.159580 	 0 	 0 
143 	 26.569522 	 2 	 2 
144 	 30.921896 	 3 	 3 
145 	 30.284385 	 3 	 1 
146 	 45.167131 	 4 	 4 
147 	 49.514574 	 4 	 4 
148 	 14.148705 	 1 	 1 
149 	 13.413560 	 1 	 1 
150 	 27.428104 	 2 	 2 
151 	 43.949909 	 4 	 4 
152 	 5.653578 	 0 	 0 
153 	 14.969555 	 1 	 1 
154 	 24.874365 	 2 	 2 
155 	 31.032839 	 3 	 3 
156 	 28.088031 	 2 	 2 
157 	 9.181612 	 0 	 0 
158 	 3.533146 	 0 	 0 
159 	 24.395948 	 2 	 2 
160 	 27.265569 	 2 	 2 
161 	 31.564486 	 3 	 3 
162 	 1.581693 	 0 	 0 
163 	 28.762930 	 2 	 2 
164 	 8.770298 	 0 	 0 
165 	 49.730088 	 4 	 4 
166 	 4.921881 	 0 	 0 
167 	 23.146108 	 2 	 2 
168 	 37.385484 	 3 	 3 
169 	 47.125581 	 4 	 4 
170 	 37.120736 	 3 	 3 
171 	 16.643750 	 1 	 0 
172 	 22.602774 	 2 	 4 
173 	 40.425444 	 4 	 4 
174 	 27.379151 	 2 	 0 
175 	 43.275097 	 4 	 4 
176 	 30.427647 	 3 	 3 
177 	 9.329950 	 0 	 0 
178 	 0.355850 	 0 	 0 
179 	 33.404342 	 3 	 0 
180 	 40.761972 	 4 	 4 
181 	 29.813113 	 2 	 2 
182 	 10.824799 	 1 	 1 
183 	 17.968577 	 1 	 1 
184 	 34.219364 	 3 	 3 
185 	 14.959938 	 1 	 1 
186 	 3.491316 	 0 	 0 
187 	 5.534789 	 0 	 3 
188 	 21.890833 	 2 	 0 
189 	 1.187436 	 0 	 0 
190 	 39.620679 	 3 	 3 
191 	 43.621957 	 4 	 4 
192 	 0.920331 	 0 	 0 
193 	 23.496081 	 2 	 2 
194 	 44.511687 	 4 	 4 
195 	 47.225883 	 4 	 4 
196 	 5.236352 	 0 	 0 
197 	 26.727695 	 2 	 2 
198 	 39.546753 	 3 	 3 
199 	 34.540787 	 3 	 3 
