Hap Index 	Expression Value 	Expression Level 	Prediction 
0 	 9.272152 	 0 	 Level 0 
1 	 0.894021 	 0 	 Level 0 
2 	 21.842358 	 1 	 Level 1 
3 	 12.623047 	 0 	 Level 0 
4 	 17.381927 	 1 	 Level 1 
5 	 15.907026 	 1 	 Level 0 
6 	 25.278792 	 1 	 Level 1 
7 	 2.347579 	 0 	 Level 0 
8 	 0.702696 	 0 	 Level 0 
9 	 21.931450 	 1 	 Level 1 
10 	 19.668240 	 1 	 Level 0 
11 	 9.315493 	 0 	 Level 0 
12 	 8.050610 	 0 	 Level 0 
13 	 27.276795 	 1 	 Level 1 
14 	 8.884794 	 0 	 Level 0 
15 	 15.892159 	 1 	 Level 1 
16 	 14.822272 	 0 	 Level 0 
17 	 26.539698 	 1 	 Level 1 
18 	 18.685884 	 1 	 Level 1 
19 	 24.205946 	 1 	 Level 1 
20 	 12.207008 	 0 	 Level 1 
21 	 5.383636 	 0 	 Level 0 
22 	 28.272951 	 1 	 Level 1 
23 	 8.134032 	 0 	 Level 0 
24 	 7.876407 	 0 	 Level 0 
25 	 15.689776 	 1 	 Level 0 
26 	 6.423513 	 0 	 Level 0 
27 	 21.454341 	 1 	 Level 1 
28 	 19.483270 	 1 	 Level 1 
29 	 18.027561 	 1 	 Level 1 
30 	 6.311772 	 0 	 Level 0 
31 	 9.115344 	 0 	 Level 0 
32 	 20.708342 	 1 	 Level 1 
33 	 5.796074 	 0 	 Level 0 
34 	 9.283711 	 0 	 Level 0 
35 	 24.596527 	 1 	 Level 1 
36 	 2.187371 	 0 	 Level 0 
37 	 6.611643 	 0 	 Level 0 
38 	 1.875010 	 0 	 Level 0 
39 	 10.425659 	 0 	 Level 1 
40 	 3.917150 	 0 	 Level 0 
41 	 13.277128 	 0 	 Level 1 
42 	 6.372831 	 0 	 Level 0 
43 	 21.669224 	 1 	 Level 1 
44 	 25.162667 	 1 	 Level 1 
45 	 24.138597 	 1 	 Level 1 
46 	 27.970069 	 1 	 Level 1 
47 	 7.994434 	 0 	 Level 0 
48 	 10.637867 	 0 	 Level 0 
49 	 10.363195 	 0 	 Level 0 
50 	 19.583066 	 1 	 Level 1 
51 	 12.958651 	 0 	 Level 1 
52 	 8.316812 	 0 	 Level 0 
53 	 16.264659 	 1 	 Level 0 
54 	 16.316414 	 1 	 Level 1 
55 	 19.881568 	 1 	 Level 0 
56 	 29.232960 	 1 	 Level 1 
57 	 14.234778 	 0 	 Level 0 
58 	 23.760577 	 1 	 Level 1 
59 	 14.193037 	 0 	 Level 0 
60 	 8.147017 	 0 	 Level 0 
61 	 23.121795 	 1 	 Level 1 
62 	 10.031137 	 0 	 Level 0 
63 	 26.058884 	 1 	 Level 1 
64 	 2.226969 	 0 	 Level 0 
65 	 8.639956 	 0 	 Level 0 
66 	 16.369794 	 1 	 Level 0 
67 	 20.235427 	 1 	 Level 1 
68 	 25.455504 	 1 	 Level 1 
69 	 8.725248 	 0 	 Level 0 
70 	 22.671154 	 1 	 Level 1 
71 	 16.812651 	 1 	 Level 1 
72 	 1.520858 	 0 	 Level 0 
73 	 7.779805 	 0 	 Level 0 
74 	 0.770440 	 0 	 Level 0 
75 	 23.002725 	 1 	 Level 1 
76 	 8.593551 	 0 	 Level 0 
77 	 23.303506 	 1 	 Level 1 
78 	 20.425342 	 1 	 Level 1 
79 	 3.938806 	 0 	 Level 0 
80 	 15.095396 	 0 	 Level 1 
81 	 23.552418 	 1 	 Level 1 
82 	 9.911615 	 0 	 Level 0 
83 	 22.837324 	 1 	 Level 1 
84 	 11.288138 	 0 	 Level 0 
85 	 16.994994 	 1 	 Level 1 
86 	 12.500236 	 0 	 Level 0 
87 	 11.621811 	 0 	 Level 0 
88 	 18.556807 	 1 	 Level 1 
89 	 15.045196 	 0 	 Level 1 
90 	 4.466715 	 0 	 Level 0 
91 	 15.516784 	 1 	 Level 1 
92 	 22.538936 	 1 	 Level 1 
